Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.115505839285171,0.000224019396961799,-0.711928109214716,0,0,0,22.9946153124421,0.162595595787359,-0.000267119374700568,-5.57133274432897E-06,0.263916843694501,-1.94076863632546E-07,0.321780925637395,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/base.STL,,為了全身的base-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left1,-9.767139161454E-05,-6.57019978217432E-06,-0.000859562277859327,0,0,0,0.363631822542872,0.000502502647135098,2.55924303865052E-10,5.39671624788783E-07,0.000165412153706733,2.25227095564714E-09,0.000507191032007878,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left1.STL,,link2自製-2,左手0,Axis_lef_joint1,lef_joint1,continuous,0,0.233,0,-1.5708,0,0.11314,base,0.1129,0,0.99361,,,,,,,,,,,,
left2,0.215643502935891,-0.00545561504343559,0.000901646051535643,0,0,0,0.453661925541928,0.000510328001340654,2.09881445468803E-05,-3.7509405291685E-07,0.000627610410589082,-3.52126232924104E-07,0.000393325605015094,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left2.STL,,link3自製-2,左手1,,left_joint2,continuous,0,0,0,-1.5708,0.11314,0,left1,0,0,0,,,,,,,,,,,,
left3,0.0291881806808836,0.124867607466033,-3.63057178931481E-07,0,0,0,0.466600235297102,0.000619376723298427,-6.43306365916778E-06,-4.93503265794407E-19,0.000307317504049883,7.29005338146588E-10,0.000586669924778158,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left3.STL,,link4自製-2,左手2,,left_joint3,continuous,0.2657,0,0,0,0,0,left2,0,0,0,,,,,,,,,,,,
left4,4.63912432202562E-06,0.0015198083393132,0.25201456465377,0,0,0,0.195613242375712,0.000102554776637175,-1.08802160283989E-08,1.24469202232231E-08,5.18337746202779E-05,-1.30847483370652E-08,0.000105562683793647,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left4.STL,,link5自製-2,左手3,Axis_left_joint4,left_joint4,continuous,0.03,0,0,-1.5708,0,0,left3,0,0,1,,,,,,,,,,,,
left5,-6.07953687392637E-11,0.0691724928061102,0.000628722967574324,0,0,0,0.161969401289855,0.000105561803004323,-5.61257566099723E-15,2.85334302002001E-13,5.63327162643157E-05,-2.05656009879625E-08,9.71327301603908E-05,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left5.STL,,link6自製-2,左手4,Axis_left_joint5,left_joint5,continuous,0,0,0.264,1.5708,0,0,left4,0,0,1,,,,,,,,,,,,
left6,-7.9551698561886E-10,-8.07188982889229E-05,0.165632931916013,0,0,0,0.237845160272613,0.000101058944599505,2.90159556955349E-10,1.02513594853543E-09,0.000132525575104002,-6.56633341660537E-07,0.000138731723169754,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/left6.STL,,link7_夾爪-2,左手5,Axis_left_joint6,left_joint6,continuous,0,0,0,-1.5708,0,0,left5,0,0,1,,,,,,,,,,,,
right1,3.85247389544929E-13,-6.57019972793993E-06,-0.000865093642477555,0,0,0,0.363631822542873,0.000502441328473964,5.03563595012819E-16,-3.34876858916446E-11,0.000165412153706733,2.26676457564674E-09,0.000507252350669013,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/right1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/right1.STL,,link2自製-1,右手0,Axis_right_joint1,right_joint1,continuous,0,-0.233,0,1.5708,0,0,base,0,0,1,,,,,,,,,,,,
right2,0.215643502935881,-0.00545561504343245,0.000901646051637395,0,0,0,0.453661925541927,0.000510328001340654,2.09881445468772E-05,-3.75094052915035E-07,0.000627610410589082,-3.52126232920357E-07,0.000393325605015093,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/right2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/right2.STL,,link3自製-1,右手1,,right_joint2,continuous,0,0,0,-1.5708,0,0,right1,0,0,0,,,,,,,,,,,,
right3,0.0291881806808771,0.124867607466044,-3.63057106156361E-07,0,0,0,0.466600235297102,0.000619376723298427,-6.43306365917297E-06,2.5733806354616E-19,0.000307317504049884,7.29005336187189E-10,0.00058666992477816,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/right3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第一版20250923.SLDASM/meshes/right3.STL,,link4自製-1,右手2,,right_joint3,continuous,0.2657,0,0,0,0,0,right2,0,0,0,,,,,,,,,,,,
