Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.115505839285172,0.000224019396961841,-0.711928109214716,0,0,0,22.994615312442,0.162595595787359,-0.000267119374700568,-5.5713327443289E-06,0.263916843694501,-1.94076863632574E-07,0.321780925637394,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/base_link.STL,,為了全身的base-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left1,-9.76713916676086E-05,-6.57019998190345E-06,-0.000859562277853332,0,0,0,0.363631822542872,0.000502502647135098,2.55924303894646E-10,5.3967162478879E-07,0.000165412153706733,2.25227095567257E-09,0.000507191032007878,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left1.STL,,link2自製-2,左手0,Axis_left_joint_1,left_joint_1,continuous,0,0.233,0,-1.5708,0,0.11314,base_link,0.1129,0,0.99361,,,,,,,,,,,,
left2,0.215643502935841,-0.00545561504339404,0.000901646051352623,0,0,0,0.453661925541928,0.000510328001340655,2.09881445468802E-05,-3.75094052917034E-07,0.000627610410589083,-3.52126232924067E-07,0.000393325605015094,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left2.STL,,link3自製-2,左手1,Axis_left_joint2,left_joint2,continuous,0,0,0,-1.5708,0.11314,0,left1,0,0,1,,,,,,,,,,,,
left3,0.0291881806808338,0.124867607466075,-3.63057387819943E-07,0,0,0,0.466600235297101,0.000619376723298426,-6.43306365916747E-06,-4.99506998434334E-19,0.000307317504049883,7.29005338182977E-10,0.000586669924778157,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left3.STL,,link4自製-2,左手2,Axis_left_joint3,left_joint3,continuous,0.2657,0,0,0,0,0,left2,0,0,1,,,,,,,,,,,,
left4,4.63912431447611E-06,0.00151980833933735,0.252014564653812,0,0,0,0.195613242375713,0.000102554776637174,-1.08802160283991E-08,1.24469202232343E-08,5.18337746202779E-05,-1.30847483370749E-08,0.000105562683793647,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left4.STL,,link5自製-2,左手3,Axis_left_joint4,left_joint4,continuous,0.03,0,0,-1.5708,0,0,left3,0,0,1,,,,,,,,,,,,
left5,-6.08015859882016E-11,0.0691724928061146,0.000628722967550122,0,0,0,0.161969401289855,0.000105561803004323,-5.61257427034012E-15,2.85334263944639E-13,5.63327162643157E-05,-2.05656009879617E-08,9.71327301603908E-05,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left5.STL,,link6自製-2,左手4,Axis_left_joint5,left_joint5,continuous,0,0,0.264,1.5708,0,0,left4,0,0,1,,,,,,,,,,,,
left6,-7.95512544726762E-10,-8.07188983229512E-05,0.165632931916017,0,0,0,0.237845160272616,0.000101058944599506,2.90159556949526E-10,1.02513594857515E-09,0.000132525575104004,-6.56633341660212E-07,0.000138731723169756,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/left6.STL,,link7_夾爪-2,左手5,Axis_left_joint6,left_joint6,continuous,0,0,0,-1.5708,0,0,left5,0,0,1,,,,,,,,,,,,
right1,4.00568467284756E-13,-6.5701997835621E-06,-0.000865093642478443,0,0,0,0.363631822542872,0.000502441328473964,5.03718886370315E-16,-3.34876858946165E-11,0.000165412153706733,2.26676457568796E-09,0.000507252350669012,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/right1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/right1.STL,,link2自製-1,右手0,Axis_right_joint1,right_joint1,continuous,0,-0.233,0,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
right2,0.215643502935895,-0.00545561504344039,0.000901646051581995,0,0,0,0.453661925541928,0.000510328001340653,2.09881445468771E-05,-3.75094052915149E-07,0.000627610410589082,-3.52126232920351E-07,0.000393325605015093,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/right2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/right2.STL,,link3自製-1,右手1,Axis_right_joint2,right_joint2,continuous,0,0,0,-1.5708,0,0,right1,0,0,1,,,,,,,,,,,,
right3,0.0291881806808931,0.124867607466046,-3.63057168994985E-07,0,0,0,0.466600235297102,0.000619376723298427,-6.43306365917314E-06,2.6159964858792E-19,0.000307317504049884,7.29005335970343E-10,0.000586669924778159,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/right3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://全身URDF_第二版20250923.SLDASM/meshes/right3.STL,,link4自製-1,右手2,Axis_right_joint3,right_joint3,continuous,0.2657,0,0,0,0,0,right2,0,0,1,,,,,,,,,,,,
